,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,0,1,2,3,4
0,070 Shake,0.49315151515151484,0.739666666666667,-5.027757575757579,0.2119878787878789,0.03891757575757578,0.001476363636363636,0.16348181818181826,0.27409090909090916,183.47430303030308,Guilty Conscience,Guilty Conscience - Tame Impala Remix,Lose My Cool (feat. NLE Choppa),,
1,10 Years,0.409,0.783,-5.083,0.0731,0.000422,0.000354,0.0664,0.313,145.541,Wasteland,,,,
2,100 gecs,0.49483333333333335,0.894888888888889,-2.9748888888888896,0.3780000000000001,0.057722222222222216,1.2e-05,0.5814444444444444,0.5698888888888889,164.43677777777782,"hand crushed by a mallet (Remix) [feat. Fall Out Boy, Craig Owens, Nicole Dollanganger]",money machine,hand crushed by a mallet,,
3,13th Ward Social Club,0.814,0.438,-6.929,0.0495,0.0289,0.879,0.0716,0.584,81.963,Tigress,,,,
4,18YOMAN,0.651,0.494,-9.194,0.0464,0.457,0.368,0.115,0.391,74.989,Eye Catcher,,,,
5,2 Chainz,0.9010877192982456,0.4983157894736847,-7.171578947368421,0.38305263157894737,0.060467894736842116,4.208596491228071e-05,0.22599649122807006,0.6569824561403511,142.41357894736842,Pop Music (feat. Moneybagg Yo & Beatking),MFN Right - Remix,Million Dollars Worth of Game,,
6,2%,0.492,0.475,-8.147,0.0481,0.188,5.84e-06,0.0912,0.77,102.081,Fumblin',,,,
7,21 Savage,0.8235000000000001,0.48166666666666674,-9.112,0.3798333333333333,0.31796666666666673,0.0011083333333333331,0.10116666666666667,0.20016666666666671,150.16449999999995,X (feat. Future),Lazy Susan (with Rich Brian feat. Warren Hue & Masiwei,,,
8,3BallMTY,0.7919999999999999,0.9169999999999999,-5.01,0.0686,0.21499999999999997,3.279999999999999e-05,0.06099999999999997,0.9659999999999997,131.895,Inténtalo (feat. América Sierra & El Bebeto),,,,
9,3LAU,0.571,0.752,-4.872,0.0293,0.0196,6.92e-05,0.114,0.25,102.043,Better With You,,,,
10,3rdEyeMob,0.792,0.223,-17.641,0.482,0.757,0.000163,0.0808,0.11,88.017,GoodBye,,,,
11,404 Guild,0.773,0.743,-6.682,0.0452,0.278,0.0681,0.128,0.555,120.021,Blind Spot,,,,
12,49th & Main,0.7270000000000002,0.6020000000000001,-11.162000000000004,0.11000000000000003,0.0966,1.7100000000000002e-05,0.15599999999999997,0.4779999999999998,115.94399999999997,Don't You Like It?,,,,
13,5 Seconds of Summer,0.4180000000000001,0.4450000000000001,-5.406999999999998,0.22699999999999995,0.4690000000000001,0.0,0.12300000000000001,0.608,175.686,Easier – Remix (with Charlie Puth),,,,
14,6LACK,0.6253255813953487,0.42297674418604625,-9.504569767441867,0.15622209302325582,0.5416651162790695,0.001745418720930234,0.12490697674418617,0.28298837209302324,123.28316279069769,Pretty Little Fears (feat. J. Cole),Stan,Seasons (feat. Khalid),Sorry,Long Nights
15,808INK,0.641,0.777,-5.453000000000001,0.24900000000000005,0.0184,0.00014900000000000002,0.16999999999999998,0.48499999999999993,126.393,I Just Wanna,,,,
16,88rising,0.6498928571428565,0.5459642857142851,-7.721017857142864,0.10705476190476196,0.3426613095238097,0.01647226226190477,0.15572619047619035,0.35251190476190436,110.96132142857158,Best Lover,Midsummer Madness,Walking (feat. Swae Lee & Major Lazer),The Weekend,La Cienega
17,99 Neighbors,0.7042758620689658,0.41486206896551714,-9.956034482758621,0.3636999999999999,0.6642758620689656,0.00022394827586206896,0.11079310344827588,0.43220689655172406,86.25972413793109,Thunder,19,Fly,Lock N Key,
18,A Great Big Pile of Leaves,0.479,0.323,-8.927,0.0402,0.807,0.000328,0.598,0.389,137.992,Learn to Share,,,,
19,ABBA,0.6189032258064516,0.6347258064516129,-7.770403225806454,0.03451935483870969,0.5150000000000005,0.0004322154838709675,0.2765241935483871,0.6076451612903224,127.16308064516126,Chiquitita,Mamma Mia,"Money, Money, Money",Thank You For The Music,I Have A Dream
20,AFTM,0.5999090909090906,0.5644999999999998,-10.213090909090905,0.04566818181818182,0.4609090909090909,0.0014857409090909088,0.19300000000000003,0.4014545454545454,85.98400000000001,Morning,Fool,,,
21,AG Club,0.5834166666666666,0.6735000000000001,-8.295250000000001,0.3106666666666667,0.37683333333333335,1.9724999999999995e-05,0.1968333333333333,0.26899999999999996,89.75366666666667,Hngover,Memphis,Mr. Put It On,,
22,AJR,0.6289999999999999,0.8330000000000001,-7.2189999999999985,0.0855,0.12400000000000004,0.0,0.159,0.6530000000000001,80.96799999999999,Bummerland,,,,
23,APRE,0.733,0.784,-6.481,0.0282,0.169,0.0144,0.106,0.594,107.017,All Yours,,,,
24,AQVOL,0.829,0.395,-7.632,0.39000000000000007,0.7219999999999999,0.000258,0.10200000000000001,0.37000000000000005,160.04999999999998,Dirty,,,,
25,ARTHUR,0.694,0.666,-6.382,0.112,0.0615,0.0256,0.209,0.793,199.995,Woof Woof,,,,
26,ASL,0.5988217821782182,0.6916831683168321,-5.684693069306929,0.07778811881188126,0.31710891089108895,0.0326189894059406,0.21179207920792098,0.5068910891089105,118.8250099009901,Elevate,Voodoo,Leona,Hey Mister,Jump In
27,AUDREY NUNA,0.8788666666666668,0.5318666666666665,-8.160066666666667,0.11102000000000004,0.06865333333333333,0.0002991566666666666,0.23279999999999998,0.30379999999999996,131.68046666666672,Comic Sans (feat. Jack Harlow),damn Right,changes,,
28,AVA NOVA,0.759,0.464,-6.185,0.0302,0.582,6.21e-05,0.326,0.567,91.003,Ramen,,,,
