,artist,track,uri,time,ms_played
23052,THE BLSSM,SMOKE,spotify:track:3meycN9hk4DZaMBfi2HDny,2022-05-24 15:16,860
23053,Lynyrd Skynyrd,That Smell - Live,spotify:track:3Art0BP4PE0sEg651o8G1M,2022-05-24 15:16,1160
23054,Drake,Jumpman,spotify:track:27GmP9AWRs744SzKcpJsTZ,2022-05-24 15:16,710
23055,J. Cole,No Role Modelz,spotify:track:68Dni7IE4VyPkTOH9mRWHr,2022-05-24 15:16,830
23056,Easton Corbin,Roll With It,spotify:track:7bNX2Fgb4MjPrYbkHaCNwV,2022-05-24 15:16,1000
23057,Charlie Puth,Mother,spotify:track:6rVNnvyNeibts1uOqdSNIw,2022-05-24 15:16,1080
23058,Bruno Mars,Perm,spotify:track:1I6pKIyaBp4OebTGLJpCCC,2022-05-24 15:16,1160
23059,Yeah Yeah Yeahs,Maps,spotify:track:0hDQV9X1Da5JrwhK8gu86p,2022-05-24 15:16,760
23060,JID,Off Deez (with J. Cole),spotify:track:3JAeYOjyJodI4PRs44lx2l,2022-05-24 15:16,820
23061,Midland,Drinkin' Problem,spotify:track:1vBpwxsLVwaR4evBIaFmqD,2022-05-24 15:16,1030
23062,Megan Thee Stallion,Savage Remix (feat. Beyoncé),spotify:track:5v4GgrXPMghOnBBLmveLac,2022-05-24 15:16,990
23063,Jay Rock,"King's Dead (with Kendrick Lamar, Future & James Blake)",spotify:track:51rXHuKN8Loc4sUlKPODgH,2022-05-24 15:16,1210
23064,88rising,Best Lover,spotify:track:0iWFz0Q5Qha9bx325ocFWq,2022-05-24 15:16,1010
23065,The Oak Ridge Boys,Callin' Baton Rouge,spotify:track:091vtbBzrMBwedmgTjr0nV,2022-05-24 15:16,1150
23066,Nané,Always On My Mind,spotify:track:4BzkIjqAMi2MYU5ZJoV9my,2022-05-24 15:16,1060
23067,Kendrick Lamar,Big Shot (with Travis Scott),spotify:track:5cXg9IQS34FzLVdHhp7hu7,2022-05-24 15:16,760
23068,GRACEY,Empty Love,spotify:track:2iqIjiKVQ6p7zdp9pqAeUL,2022-05-24 15:17,2360
23069,Ava Max,"Kings & Queens, Pt. 2 (feat. Lauv & Saweetie)",spotify:track:5rB5mfeFCkUI3nkHQMMZ3K,2022-05-24 15:17,840
23070,Ashe,Moral of the Story,spotify:track:69HzZ3ti9DLwb0GdWCGYSo,2022-05-24 15:17,710
23071,Ashe,Moral of the Story,spotify:track:69HzZ3ti9DLwb0GdWCGYSo,2022-05-24 15:17,4150
23072,Rainbow Kitten Surprise,Fever Pitch,spotify:track:5vyt44455ipNNVSYq8fYY7,2022-05-24 15:17,1160
23073,Cordae,Kung Fu,spotify:track:3CArFtrkJzWkxgjmX7ki9N,2022-05-24 15:17,760
23074,Alabama Shakes,Miss You,spotify:track:5SGLtVy6rY7ek5nr5EcTjo,2022-05-24 15:20,227066
23075,Anderson .Paak,Cheers (feat. Q-Tip),spotify:track:4qNijbGeHqlcFWrGrATFOX,2022-05-24 15:23,770
23076,Oh Wonder,Hallelujah,spotify:track:1KcXKTF5TQqMjD7aXWURQY,2022-05-24 15:23,1240
